zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
2133,42.35838,-71.06383,Boston,MA,Massachusetts,TRUE,,80,2377.1,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2134,42.35855,-71.12931,Allston,MA,Massachusetts,TRUE,,17637,5516.9,25025,Suffolk,"{""25025"": 99.6, ""25017"": 0.4}",Suffolk|Middlesex,25025|25017,FALSE,FALSE,America/New_York
2135,42.34989,-71.15417,Brighton,MA,Massachusetts,TRUE,,43683,6487.7,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2136,42.25505,-71.12662,Hyde Park,MA,Massachusetts,TRUE,,38071,3196.6,25025,Suffolk,"{""25025"": 99.9, ""25021"": 0.1}",Suffolk|Norfolk,25025|25021,FALSE,FALSE,America/New_York
2138,42.37997,-71.13446,Cambridge,MA,Massachusetts,TRUE,,38077,5369,25017,Middlesex,"{""25017"": 100}",Middlesex,25017,FALSE,FALSE,America/New_York
2139,42.36224,-71.10253,Cambridge,MA,Massachusetts,TRUE,,39609,9854.9,25017,Middlesex,"{""25017"": 100}",Middlesex,25017,FALSE,FALSE,America/New_York
2140,42.39332,-71.13342,Cambridge,MA,Massachusetts,TRUE,,21361,7119.9,25017,Middlesex,"{""25017"": 100}",Middlesex,25017,FALSE,FALSE,America/New_York
2141,42.37041,-71.08218,Cambridge,MA,Massachusetts,TRUE,,14677,9308.6,25017,Middlesex,"{""25017"": 100}",Middlesex,25017,FALSE,FALSE,America/New_York
2142,42.36295,-71.08189,Cambridge,MA,Massachusetts,TRUE,,4349,5352.7,25017,Middlesex,"{""25017"": 99.84, ""25025"": 0.16}",Middlesex|Suffolk,25017|25025,FALSE,FALSE,America/New_York
2143,42.38142,-71.09677,Somerville,MA,Massachusetts,TRUE,,25161,6289.6,25017,Middlesex,"{""25017"": 100}",Middlesex,25017,FALSE,FALSE,America/New_York
2144,42.40088,-71.122,Somerville,MA,Massachusetts,TRUE,,25009,8843.5,25017,Middlesex,"{""25017"": 100}",Middlesex,25017,FALSE,FALSE,America/New_York
2145,42.39206,-71.0895,Somerville,MA,Massachusetts,TRUE,,27929,7754,25017,Middlesex,"{""25017"": 100}",Middlesex,25017,FALSE,FALSE,America/New_York
2148,42.43048,-71.05762,Malden,MA,Massachusetts,TRUE,,65509,5012.5,25017,Middlesex,"{""25017"": 100}",Middlesex,25017,FALSE,FALSE,America/New_York
2149,42.40643,-71.05446,Everett,MA,Massachusetts,TRUE,,49236,5560,25017,Middlesex,"{""25017"": 99.86, ""25025"": 0.14}",Middlesex|Suffolk,25017|25025,FALSE,FALSE,America/New_York
2150,42.39587,-71.03251,Chelsea,MA,Massachusetts,TRUE,,39444,6878.1,25025,Suffolk,"{""25025"": 99.81, ""25017"": 0.19}",Suffolk|Middlesex,25025|25017,FALSE,FALSE,America/New_York
2151,42.41887,-71.004,Revere,MA,Massachusetts,TRUE,,59949,4057,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2152,42.37724,-70.98115,Winthrop,MA,Massachusetts,TRUE,,18807,4381.6,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2155,42.42324,-71.10878,Medford,MA,Massachusetts,TRUE,,61276,2888.8,25017,Middlesex,"{""25017"": 100}",Middlesex,25017,FALSE,FALSE,America/New_York
2163,42.36717,-71.12509,Boston,MA,Massachusetts,TRUE,,1852,3897.5,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2169,42.23971,-71.01802,Quincy,MA,Massachusetts,TRUE,,60928,1944.9,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2170,42.26644,-71.01621,Quincy,MA,Massachusetts,TRUE,,19685,3645.4,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2171,42.28709,-71.02604,Quincy,MA,Massachusetts,TRUE,,20513,3229.2,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2176,42.45561,-71.05901,Melrose,MA,Massachusetts,TRUE,,29488,2431.1,25017,Middlesex,"{""25017"": 100}",Middlesex,25017,FALSE,FALSE,America/New_York
2180,42.47396,-71.09705,Stoneham,MA,Massachusetts,TRUE,,22986,1484.6,25017,Middlesex,"{""25017"": 100}",Middlesex,25017,FALSE,FALSE,America/New_York
2184,42.20386,-71.0022,Braintree,MA,Massachusetts,TRUE,,38762,1087.4,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2186,42.23854,-71.08464,Milton,MA,Massachusetts,TRUE,,28716,809.5,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2188,42.20724,-70.95764,Weymouth,MA,Massachusetts,TRUE,,15396,1539.3,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2189,42.2111,-70.93135,East Weymouth,MA,Massachusetts,TRUE,,15231,1466.5,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2190,42.16625,-70.95253,South Weymouth,MA,Massachusetts,TRUE,,19029,1050.2,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2191,42.24434,-70.94378,North Weymouth,MA,Massachusetts,TRUE,,8130,1750.4,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2199,42.34748,-71.08199,Boston,MA,Massachusetts,TRUE,,1253,8447.9,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2203,42.36144,-71.05945,Boston,MA,Massachusetts,TRUE,,0,0,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2205,42.34935,-71.05564,Boston,MA,Massachusetts,TRUE,,0,0,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2210,42.34815,-71.03942,Boston,MA,Massachusetts,TRUE,,6554,2742.4,25025,Suffolk,"{""25025"": 100}",Suffolk,25025,FALSE,FALSE,America/New_York
2215,42.34741,-71.10276,Boston,MA,Massachusetts,TRUE,,24054,10502.4,25025,Suffolk,"{""25025"": 95.72, ""25021"": 4.28}",Suffolk|Norfolk,25025|25021,FALSE,FALSE,America/New_York
2301,42.07791,-71.04223,Brockton,MA,Massachusetts,TRUE,,68608,2128.2,25023,Plymouth,"{""25023"": 100}",Plymouth,25023,FALSE,FALSE,America/New_York
2302,42.08792,-70.99864,Brockton,MA,Massachusetts,TRUE,,36472,1585.5,25023,Plymouth,"{""25023"": 100}",Plymouth,25023,FALSE,FALSE,America/New_York
2322,42.12666,-71.04922,Avon,MA,Massachusetts,TRUE,,4753,427.6,25021,Norfolk,"{""25021"": 100}",Norfolk,25021,FALSE,FALSE,America/New_York
2324,41.97272,-70.97498,Bridgewater,MA,Massachusetts,TRUE,,26022,372.3,25023,Plymouth,"{""25023"": 100}",Plymouth,25023,FALSE,FALSE,America/New_York
2325,41.98875,-70.96449,Bridgewater,MA,Massachusetts,TRUE,,2647,3353.4,25023,Plymouth,"{""25023"": 100}",Plymouth,25023,FALSE,FALSE,America/New_York
2330,41.87388,-70.7563,Carver,MA,Massachusetts,TRUE,,11645,120.5,25023,Plymouth,"{""25023"": 100}",Plymouth,25023,FALSE,FALSE,America/New_York
2332,42.04651,-70.71388,Duxbury,MA,Massachusetts,TRUE,,16110,262.4,25023,Plymouth,"{""25023"": 100}",Plymouth,25023,FALSE,FALSE,America/New_York
2333,42.03521,-70.94235,East Bridgewater,MA,Massachusetts,TRUE,,14420,323.8,25023,Plymouth,"{""25023"": 100}",Plymouth,25023,FALSE,FALSE,America/New_York
2338,41.99138,-70.86326,Halifax,MA,Massachusetts,TRUE,,7734,186.9,25023,Plymouth,"{""25023"": 100}",Plymouth,25023,FALSE,FALSE,America/New_York
2339,42.12241,-70.85665,Hanover,MA,Massachusetts,TRUE,,14800,367.8,25023,Plymouth,"{""25023"": 100}",Plymouth,25023,FALSE,FALSE,America/New_York
2341,42.05604,-70.87251,Hanson,MA,Massachusetts,TRUE,,10466,271.1,25023,Plymouth,"{""25023"": 100}",Plymouth,25023,FALSE,FALSE,America/New_York
